"uuid","jobid","job","pid","siteid","moment","rootid","filename","parentfilename","row","message","context"
"7901742b-853a-4838-97e9-8dcc18604245","VISION_ed593ff2-d835-4055-a9ee-6bd481462d78","VisionCovidPostETL","NRq7fz","","2020-08-18 05:33:18.5","NRq7fz","VISION_KPNW_20152016_20200814_134516.zip","VISION_KPNW_20152016_20200814_134516.zip","","COMPLETE","ETL-STEP"
"01c05d7c-aa26-44f3-a95d-24e8b5bff691","VISION_ed593ff2-d835-4055-a9ee-6bd481462d78","VisionCovidETL","EAWTJ7","KPNW","2020-08-18 05:33:17.511","EAWTJ7","VISION_KPNW_20152016_20200814_134516.zip","VISION_KPNW_20152016_20200814_134516.zip","","ETL - END","ETL"
"d273439b-c2e6-48df-9255-6fcc79a267d3","VISION_ed593ff2-d835-4055-a9ee-6bd481462d78","VisionCovidETL","EAWTJ7","KPNW","2020-08-18 05:33:17.509","EAWTJ7","VISION_KPNW_20152016_20200814_134516.zip","VISION_KPNW_20152016_20200814_134516.zip","","7","ETL-STEP"
"813005e1-226a-4522-9f45-c13193b188b6","VISION_ed593ff2-d835-4055-a9ee-6bd481462d78","VisionCovidETLVaccination","6k1MLJ","","2020-08-18 05:33:17.497","EAWTJ7","VISION_KPNW_20152016_20200814_134516/VISION_KPNW_20152016_Vaccination_20200814_134516.csv","VISION_KPNW_20152016_20200814_134516.zip","","150687","RECORDCOUNT"
"0fed661d-4516-4bf6-96ce-adc331aeb8fb","VISION_ed593ff2-d835-4055-a9ee-6bd481462d78","VisionCovidETLVaccination","6k1MLJ","KPNW","2020-08-18 05:33:17.482","EAWTJ7","VISION_KPNW_20152016_20200814_134516/VISION_KPNW_20152016_Vaccination_20200814_134516.csv","VISION_KPNW_20152016_20200814_134516.zip","","7.4","ETL"
"0d9019ab-a426-4421-8555-62fbc344818f","VISION_ed593ff2-d835-4055-a9ee-6bd481462d78","VisionCovidETLVaccination","6k1MLJ","KPNW","2020-08-18 05:33:17.48","EAWTJ7","VISION_KPNW_20152016_20200814_134516/VISION_KPNW_20152016_Vaccination_20200814_134516.csv","VISION_KPNW_20152016_20200814_134516.zip","","Success! Copyied records from temp to perm for  Site: KPNW Season: 20152016","ETL"
"b4a49504-08a5-4127-af41-d388251cec5b","VISION_ed593ff2-d835-4055-a9ee-6bd481462d78","VisionCovidETLVaccination","6k1MLJ","KPNW","2020-08-18 05:33:10.327","EAWTJ7","VISION_KPNW_20152016_20200814_134516/VISION_KPNW_20152016_Vaccination_20200814_134516.csv","VISION_KPNW_20152016_20200814_134516.zip","","Copying data from vision_flu_vaccination_temp to vision_flu_vaccination","ETL"
"acef9364-046e-4df6-a9be-e2ea1ed34b0b","VISION_ed593ff2-d835-4055-a9ee-6bd481462d78","VisionCovidETLVaccination","6k1MLJ","KPNW","2020-08-18 05:33:09.68","EAWTJ7","VISION_KPNW_20152016_20200814_134516/VISION_KPNW_20152016_Vaccination_20200814_134516.csv","VISION_KPNW_20152016_20200814_134516.zip","","7.3","ETL"
"e6ba956c-2f0c-4ef0-93db-bdf1f84243ac","VISION_ed593ff2-d835-4055-a9ee-6bd481462d78","VisionCovidETLVaccination","6k1MLJ","KPNW","2020-08-18 05:32:52.782","EAWTJ7","VISION_KPNW_20152016_20200814_134516/VISION_KPNW_20152016_Vaccination_20200814_134516.csv","VISION_KPNW_20152016_20200814_134516.zip","","7.2","ETL"
"3d457ac5-db46-48a2-9ae9-c32325731ec6","VISION_ed593ff2-d835-4055-a9ee-6bd481462d78","VisionCovidETLVaccination","6k1MLJ","KPNW","2020-08-18 05:28:20.168","EAWTJ7","VISION_KPNW_20152016_20200814_134516/VISION_KPNW_20152016_Vaccination_20200814_134516.csv","VISION_KPNW_20152016_20200814_134516.zip","","7.1","ETL"
